fk_course,fk_plan,fk_teacher_teacher,teacher_name,language_type,fk_student,fk_test,origin_test_id,interaction_id,course_ware_id,package_id,package_name,page_id,order_id,data_source,test_type,test_type_desc,is_answer,answer_time,is_force,is_right,total_blank_nums,right_blank_nums,right_ratio,score,submit_time,etl_time,dt,年级,讲次
99778,812218,15006,关艺,1.0,64065917,899561675755249718_6892258,1,899561675755249718,133373,6089034,互动游戏（六) 脑科学语音分辨,6892258,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,123.0,0.0,2.0,3.0,1.0,33.33333333333333,,2021-03-26 19:21:15,2021-03-27 05:39:51.867,20210326,中,22
99768,811991,15316,王越,1.0,10676010,2627561477112412666_6257185,1,2627561477112412666,121194,5496620,游戏二：脑科学：注意抑制—迷路包装,6257185,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,20.0,1.0,0.0,3.0,0.0,0.0,,2021-03-03 19:34:34,2021-03-04 05:17:28.241,20210303,大,15
99768,811987,15316,王越,1.0,6045552,999561200777268434_6117439,0,999561200777268434,117944,5364962,32,6117439,1,ods_live_edc_xes_edc_online_answer_logs,18,超级演讲秀,1,43.0,0.0,-1.0,0.0,0.0,,89.0,2021-01-30 19:57:45,2021-01-31 05:50:15.971,20210130,大,11
99770,812034,15316,王越,1.0,34457504,2718961425305171930_6284137,1,2718961425305171930,120372,5522349,游戏三：脑科学：部件位置判断,6284137,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,170.0,0.0,1.0,5.0,5.0,100.0,,2021-02-25 19:40:30,2021-02-26 06:44:28.448,20210225,大,14
99780,812246,15006,关艺,1.0,61920419,3403361036575282164_5882350,1,3403361036575282164,116538,5140748,游戏二：风字辨析（吃火锅模板）,5882350,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,102.0,0.0,1.0,1.0,1.0,100.0,,2021-01-11 19:51:01,2021-01-12 05:07:30.655,20210111,中,6
106874,878724,52428,罗澜,1.0,56653203,943061071069563548_5883024,1,943061071069563548,116770,5141392,游戏二：房子好像胖老汉（脑科学---注意,5883024,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,92.0,0.0,1.0,8.0,8.0,100.0,,2021-01-15 19:39:48,2021-01-16 05:10:32.199,20210115,中,7
99780,812242,15006,关艺,1.0,59891786,3215260820628137044_5599739,1,3215260820628137044,110965,4880667,互动模板,5599739,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,80.0,0.0,1.0,4.0,4.0,100.0,,2020-12-17 19:59:25,2020-12-18 05:22:47.977,20201217,中,2
99780,812257,15006,关艺,1.0,52142289,443861520406169116_6571124,1,443861520406169116,122723,5793061,游戏三：脑科学：注意定向-欲把西湖比西子,6571124,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,69.0,0.0,2.0,8.0,7.0,87.5,,2021-03-08 19:48:52,2021-03-09 05:18:30.482,20210308,中,17
99768,811991,15316,王越,1.0,49067393,675461477182438678_6278283,1,675461477182438678,121194,5516757,30,6278283,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,20.0,0.0,1.0,1.0,1.0,100.0,,2021-03-03 19:44:04,2021-03-04 05:17:28.241,20210303,大,15
100893,910235,43944,杨洋,1.0,61479555,3215261140199064104_6014800,0,3215261140199064104,118799,5267591,33,6014800,1,ods_live_edc_xes_edc_online_answer_logs,18,超级演讲秀,0,,,,,,,,,2021-01-24 08:17:05.593,20210123,大,9
99781,812264,22464,张智超,1.0,1886702,3215360829094234646_5603447,1,3215360829094234646,110965,4883674,19,5603447,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,137.0,1.0,0.0,3.0,0.0,0.0,,2020-12-18 19:31:21,2020-12-19 05:19:40.976,20201218,中,2
99778,816127,34447,王旭晖,1.0,56707908,3215461174715093596_6098558,1,3215461174715093596,131222,5347225,25,6098558,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,0,,,,,,,,,2021-01-28 05:13:12.864,20210127,中,10
99772,812077,22464,张智超,1.0,61132718,2507361243701834598_6223719,1,2507361243701834598,120286,5465047,游戏一：躲避年兽,6223719,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,46.0,0.0,1.0,3.0,3.0,100.0,,2021-02-04 19:11:08,2021-02-05 05:08:48.422,20210204,大,13
106874,878733,52428,罗澜,1.0,60323097,2626561494505247482_6538496,1,2626561494505247482,141640,5762892,游戏三：选择门票（点选）,6538496,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,21.0,0.0,1.0,1.0,1.0,100.0,,2021-03-05 19:51:15,2021-03-06 05:28:56.52,20210305,中,16
99769,812020,15316,王越,1.0,23241874,2031161666544320834_6881798,1,2031161666544320834,129978,6079387,游戏二：时光穿梭,6881798,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,38.0,0.0,1.0,3.0,3.0,100.0,,2021-03-25 17:44:43,2021-03-26 05:37:06.397,20210325,大,22
99770,812036,15316,王越,1.0,53680237,947661485626301076_6531248,1,947661485626301076,122101,5756028,09,6531248,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,84.0,0.0,1.0,1.0,1.0,100.0,,2021-03-04 19:12:28,2021-03-05 05:18:29.998,20210304,大,16
99780,812262,15006,关艺,1.0,54049735,951361667286822398_6892258,1,951361667286822398,133373,6089034,互动游戏（六) 脑科学语音分辨,6892258,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,141.0,0.0,1.0,3.0,3.0,100.0,,2021-03-25 19:50:12,2021-03-26 05:37:06.397,20210325,中,22
99768,811983,15316,王越,1.0,23095351,462061079732730694_5905207,0,462061079732730694,115091,5162606,27,5905207,1,ods_live_edc_xes_edc_online_answer_logs,18,超级演讲秀,0,,,,,,,,,2021-01-17 05:24:11.641,20210116,大,7
99769,812000,15316,王越,1.0,24613563,3215260819974985662_5593240,1,3215260819974985662,110771,4874710,28,5593240,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,46.0,0.0,1.0,2.0,2.0,100.0,,2020-12-17 18:09:56,2020-12-18 05:22:47.977,20201217,大,2
99772,812084,22464,张智超,1.0,23060567,2724461606758406764_6730660,1,2724461606758406764,126163,5938880,30,6730660,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,21.0,0.0,1.0,1.0,1.0,100.0,,2021-03-18 19:40:06,2021-03-19 05:27:46.087,20210318,大,20
125567,910240,43944,杨洋,1.0,59401420,921561442601346476_6284137,1,921561442601346476,120372,5522349,游戏三：脑科学：部件位置判断,6284137,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,143.0,0.0,1.0,5.0,5.0,100.0,,2021-02-27 19:42:36,2021-02-28 05:15:57.281,20210227,大,14
99779,812224,15006,关艺,1.0,45070773,178161036212655942_5882350,1,178161036212655942,116538,5140748,游戏二：风字辨析（吃火锅模板）,5882350,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,111.0,0.0,1.0,1.0,1.0,100.0,,2021-01-11 18:50:39,2021-01-12 05:07:30.655,20210111,中,6
99779,812229,15006,关艺,1.0,48142641,1719861183007806894_6158324,1,1719861183007806894,117656,5403309,03游戏一：哪个是夸父（点选）,6158324,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,12.0,0.0,1.0,1.0,1.0,100.0,,2021-01-28 18:34:51,2021-01-29 05:08:06.55,20210128,中,11
99780,812246,15006,关艺,1.0,10220695,941461036522951844_5882348,1,941461036522951844,116538,5140746,游戏一：下字辨析（捕鱼模板）,5882348,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,55.0,0.0,1.0,1.0,1.0,100.0,,2021-01-11 19:41:25,2021-01-12 05:07:30.655,20210111,中,6
106874,878728,52428,罗澜,1.0,47869940,2557561192144397266_6155596,0,2557561192144397266,117656,5400744,17,6155596,1,ods_live_edc_xes_edc_online_answer_logs,18,超级演讲秀,1,5.0,0.0,-1.0,0.0,0.0,,85.0,2021-01-29 19:57:49,2021-01-30 05:44:21.351,20210129,中,11
99772,812083,22464,张智超,1.0,59873320,487861580790208634_6695913,1,487861580790208634,125196,5907627,游戏二：花园拖拽,6695913,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,33.0,0.0,1.0,2.0,2.0,100.0,,2021-03-15 19:32:16,2021-03-16 05:35:05.658,20210315,大,19
99779,812228,15006,关艺,1.0,36381195,3215461157229972566_6098553,1,3215461157229972566,131222,5347220,游戏四：（脑科学---比一比游戏）,6098553,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,48.0,0.0,1.0,3.0,3.0,100.0,,2021-01-25 18:59:11,2021-01-26 05:10:19.673,20210125,中,10
99778,812211,15006,关艺,1.0,51527806,2225861468486949028_6463428,1,2225861468486949028,121382,5692496,24,6463428,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,0,,,,,,,,,2021-03-03 05:17:52.875,20210302,中,15
125567,910241,43944,杨洋,1.0,59072123,675461477105747148_6257185,1,675461477105747148,121194,5496620,游戏二：脑科学：注意抑制—迷路包装,6257185,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,103.0,0.0,1.0,3.0,3.0,100.0,,2021-03-03 19:32:41,2021-03-04 05:17:28.241,20210303,大,15
99780,812259,15006,关艺,1.0,62277363,948961580836968180_6697505,1,948961580836968180,125335,5909075,游戏一：朝辞白帝彩云间（拖拽套题）,6697505,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,45.0,0.0,1.0,2.0,2.0,100.0,,2021-03-15 19:40:15,2021-03-16 05:35:05.658,20210315,中,19
99771,812056,22464,张智超,1.0,46850952,1993761442596820616_6324364,1,1993761442596820616,120372,5560309,30,6324364,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,22.0,0.0,1.0,1.0,1.0,100.0,,2021-02-27 19:39:51,2021-02-28 05:15:57.281,20210227,大,14
99778,812209,15006,关艺,1.0,62984156,151761252407066208_6256881,1,151761252407066208,119208,5496345,游戏二：洞庭湖颜色,6256881,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,27.0,0.0,1.0,1.0,1.0,100.0,,2021-02-05 19:21:39,2021-02-06 05:57:35.352,20210205,中,13
125567,910235,43944,杨洋,1.0,62005174,1772761140066912592_5926984,1,1772761140066912592,118799,5182983,16,5926984,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,48.0,0.0,1.0,2.0,2.0,100.0,,2021-01-23 19:18:37,2021-01-24 08:17:05.593,20210123,大,9
99770,812040,15316,王越,1.0,25457214,1868061606636068786_6731602,1,1868061606636068786,126163,5939757,游戏一：脑科学：韵脚辨识,6731602,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,155.0,0.0,2.0,3.0,2.0,66.66666666666666,,2021-03-18 19:21:58,2021-03-19 05:27:46.087,20210318,大,20
99779,812220,15006,关艺,1.0,20954865,3215460820172033402_5605753,1,3215460820172033402,110965,4885720,互动模板,5605753,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,48.0,0.0,1.0,1.0,1.0,100.0,,2020-12-17 18:42:51,2020-12-18 05:22:47.977,20201217,中,2
106871,878673,52273,张敏,1.0,57855036,256861684633023898_6881809,1,256861684633023898,129978,6079398,游戏四：诗词排序,6881809,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,0,,,,,,,,,2021-03-28 06:03:05.017,20210327,大,22
99772,812080,22464,张智超,1.0,56549951,2123361485807724840_6531270,1,2123361485807724840,122101,5756050,28,6531270,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,24.0,0.0,1.0,1.0,1.0,100.0,,2021-03-04 19:41:42,2021-03-05 05:18:29.998,20210304,大,16
100893,816075,43944,杨洋,1.0,60196192,3215160829152395570_5593240,1,3215160829152395570,110771,4874710,28,5593240,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,51.0,0.0,1.0,2.0,2.0,100.0,,2020-12-18 19:39:37,2020-12-19 05:19:40.976,20201218,大,2
99780,812252,15006,关艺,1.0,6179821,673661218020668510_6186872,1,673661218020668510,117674,5430757,游戏三（注意搜索模板）,6186872,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,70.0,0.0,1.0,5.0,5.0,100.0,,2021-02-01 19:51:18,2021-02-02 05:43:08.983,20210201,中,12
99780,812246,15006,关艺,1.0,58829778,3403361036575282164_5882350,1,3403361036575282164,116538,5140748,游戏二：风字辨析（吃火锅模板）,5882350,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,102.0,0.0,1.0,1.0,1.0,100.0,,2021-01-11 19:51:02,2021-01-12 05:07:30.655,20210111,中,6
