plan_id,class_id,course_ware_id,package_id,page_id,order_id,interaction_id,stu_id,test_id,is_playback,is_force,submit_time,ability,subability,typea,typeb,difficulty_level,total_correct,total_incorrect,correct_click,incorrect_click,score,dt
812077,1524458,120286,5465048,6223720,0,1095061243806678870,59710106,1,1,1,2021-02-04 21:26:32.0,注意力,注意抑制训练,500,504,1,3,0,3,0,83.5,2021-02-19
812269,1255376,116770,5179623,5923295,0,154561070990437216,16820160,1,0,0,2021-01-15 19:26:32.0,语音意识,声调辨识训练,100,101,1,3,1,,,75,2021-02-19
920708,1703647,126163,5939757,6731602,0,2042161615273619098,61290376,1,1,0,2021-03-19 21:24:09.0,语音意识,声调辨识训练,100,101,2,3,1,,,75,2021-03-24
812038,2281051,122174,5844198,6626842,0,417661546294719270,64343533,1,0,0,2021-03-11 19:43:26.0,字形规则意识,目标部件搜索训练,200,201,1,2,1,,,67,2021-03-17
812058,1255181,122101,5756047,6531267,0,1097361503066641872,13260486,1,0,0,2021-03-06 19:38:39.0,字形规则意识,目标部件搜索训练,200,201,2,3,0,,,100,2021-03-10
816074,1650370,110783,4861787,5578866,0,3215460803209536312,57010223,1,0,0,2020-12-15 19:36:07.0,视动能力,空间位置判断训练,400,403,1,1,2,,,33,2021-02-19
816091,1650310,122174,5844198,6626842,0,796861554908289784,58533848,1,0,0,2021-03-12 19:38:57.0,字形规则意识,目标部件搜索训练,200,201,1,3,0,,,100,2021-03-17
811980,1254959,116416,4945879,5672170,0,1119660993329933074,49098599,1,0,0,2021-01-06 19:42:52.0,字形规则意识,目标部件搜索训练,200,201,1,2,1,,,67,2021-02-19
812259,2201063,125335,5909078,6697508,0,255461580901102706,52408888,1,0,1,2021-03-15 19:52:03.0,视动能力,手眼配合训练,400,402,1,0,0,,,0,2021-03-17
812282,1651126,125461,5938884,6730664,0,616861615269575220,29386231,1,1,0,2021-03-26 20:28:20.0,视觉能力,视觉辨识训练,400,401,2,1,2,,,33,2021-04-01
812210,1255241,119237,5616409,6383612,0,674961433893225786,59389016,1,0,0,2021-02-26 19:30:00.0,视觉能力,视觉辨识训练,400,401,1,5,0,,,100,2021-03-03
812043,1255151,110783,4861787,5578866,0,3215460811817586548,8238739,1,0,0,2020-12-16 19:30:49.0,视动能力,空间位置判断训练,400,403,1,2,1,,,67,2021-02-19
816079,1775046,111834,5138950,5880390,0,816461045020835358,13192455,1,1,0,2021-02-20 11:58:20.0,视动能力,手眼配合训练,400,402,3,9,0,,,100,2021-03-03
812228,1255301,131222,5347625,6098976,0,2129561157125873158,55869651,1,0,0,2021-01-25 18:42:07.0,字形规则意识,目标部件搜索训练,200,201,2,3,1,,,75,2021-02-19
812231,1255272,119208,5496347,6256883,0,1841261243635512906,49938409,1,0,0,2021-02-04 19:01:21.0,语音意识,声调辨识训练,100,101,1,3,0,,,100,2021-02-19
812265,1846028,112898,4894996,5615860,0,2129560863510842148,61269690,1,1,0,2021-02-24 20:35:07.0,注意力,注意搜索训练,500,501,2,8,0,8,0,100.00,2021-03-03
910228,1793078,110771,4867624,5585188,0,3215160837753618402,61476241,1,1,1,2021-04-01 07:42:43.0,注意力,注意广度训练,500,503,1,14,0,14,0,110,2021-04-01
812057,2075836,121194,5496620,6257185,0,742461477093465242,64842996,1,0,0,2021-03-03 19:30:38.0,注意力,注意抑制训练,500,504,1,13,1,13,1,95.5,2021-03-03
812084,1760647,126163,5939757,6731602,0,1868061606594623420,50299761,1,0,0,2021-03-18 19:14:31.0,语音意识,声调辨识训练,100,101,2,2,3,,,40,2021-03-24
812044,1255109,110771,4867624,5585188,0,3215360837751835566,36473839,1,1,0,2020-12-27 19:35:46.0,注意力,注意广度训练,500,503,1,14,1,14,1,101.6,2021-02-19
812044,1255134,110771,4867624,5585188,0,3215360837751835566,55375144,1,1,0,2020-12-21 21:53:46.0,注意力,注意广度训练,500,503,1,14,0,14,0,110,2021-02-19
812017,1255074,125196,5907626,6695912,0,234261580151789888,59737748,1,0,0,2021-03-15 17:47:22.0,注意力,注意广度训练,500,503,3,11,7,11,6,70.6,2021-03-17
816077,1255445,116416,4945879,5672170,0,2336860984679597262,56194746,1,0,0,2021-01-05 19:40:56.0,字形规则意识,目标部件搜索训练,200,201,1,3,0,,,100,2021-02-19
812237,1255260,125335,5909078,6697508,0,179161580539427748,30843043,1,0,0,2021-03-15 18:50:35.0,视动能力,手眼配合训练,400,402,1,10,0,,,100,2021-03-17
812061,1255101,125196,5907626,6695912,0,714061597956351914,47832769,1,1,1,2021-03-17 20:19:17.0,注意力,注意广度训练,500,503,3,0,0,0,0,0,2021-03-17
812204,1758941,117004,5197078,5941953,0,3184061105586566010,60973149,1,0,0,2021-01-19 19:33:40.0,语音意识,声调辨识训练,100,101,1,3,1,,,75,2021-02-19
812206,1867700,131222,5347625,6098976,0,3215261165943752564,54180666,1,0,0,2021-01-26 19:12:05.0,字形规则意识,目标部件搜索训练,200,201,2,3,1,,,75,2021-02-19
812000,1255011,110771,4867624,5585188,0,3215260819908112900,48586147,1,0,0,2020-12-17 17:59:38.0,注意力,注意广度训练,500,503,1,14,0,14,0,110,2021-02-19
811990,1495087,120372,5560308,6324363,0,443261442547908680,24875673,1,0,0,2021-02-27 19:32:36.0,视动能力,空间位置判断训练,400,403,2,2,1,,,67,2021-03-03
