liveid,courseid,teacherid,classid,userid,interactionid,isplayback,data,submit_time,device,devicemodel,devicemodel_detail,app_version,dt
920702,127162,52273,1797724,14274415,921561433957886056,0,"{""type"":""brainScience"",""data"":[{""num"":1,""answer"":1,""accuracy"":""1.00"",""time"":18457,""select"":[{""accurate"":1,""part"":1,""duration"":4455},{""accurate"":1,""part"":2,""duration"":3657}]},{""num"":2,""answer"":1,""accuracy"":""0.67"",""time"":15793,""select"":[{""accurate"":0,""part"":1,""duration"":0},{""accurate"":1,""part"":1,""duration"":2770}]},{""num"":3,""answer"":1,""accuracy"":""0.60"",""time"":19330,""select"":[{""accurate"":0,""part"":1,""duration"":2408},{""accurate"":1,""part"":1,""duration"":620},{""accurate"":1,""part"":2,""duration"":3075}]},{""num"":4,""answer"":1,""accuracy"":""0.50"",""time"":29314,""select"":[{""accurate"":0,""part"":1,""duration"":3446},{""accurate"":1,""part"":1,""duration"":1844},{""accurate"":0,""part"":2,""duration"":2426},{""accurate"":1,""part"":2,""duration"":1668}]},{""num"":5,""answer"":1,""accuracy"":""0.56"",""time"":14727,""select"":[{""accurate"":1,""part"":1,""duration"":2447},{""accurate"":1,""part"":2,""duration"":1642}]}]}",2021-02-26 19:42:07,iOS,iPad,"iPad6,4",81708,20210226
816087,100893,43944,1255456,58295309,2123061433899907568,0,"{""type"":""brainScience"",""data"":[]}",2021-02-26 19:31:02,Android,,KRJ-W09,81703,20210226
811984,99768,15316,1254988,56760628,1120661114278054328,0,"{""type"":""brainScience"",""data"":[{""num"":1,""times"":2,""top_click"":0,""buttom_click"":0,""select"":[{""accurate"":1,""duration"":14041}],""answer"":0,""accuracy"":""0.00"",""time"":18681},{""num"":2,""times"":1,""top_click"":0,""buttom_click"":3,""select"":[{""accurate"":1,""duration"":10642}],""answer"":1,""accuracy"":""0.50"",""time"":15144},{""num"":3,""times"":2,""top_click"":0,""buttom_click"":6,""select"":[{""accurate"":0,""duration"":4590},{""accurate"":1,""duration"":24536}],""answer"":0,""accuracy"":""0.33"",""time"":29079}]}",2021-01-20 19:42:30,Android,,BAH2-W09,81501,20210120
878716,106873,52428,1770178,16504905,898761658405652060,0,"{""type"":""brainScience"",""data"":[{""num"":1,""stage"":1,""cor_position"":31,""answer"":1,""accuracy"":""1.00"",""time"":3500,""select"":{""position"":31,""accurate"":1,""duration"":537}},{""num"":2,""stage"":1,""cor_position"":42,""answer"":1,""accuracy"":""1.00"",""time"":3500,""select"":{""position"":42,""accurate"":1,""duration"":605}},{""num"":3,""stage"":1,""cor_position"":32,""answer"":1,""accuracy"":""1.00"",""time"":3500,""select"":{""position"":32,""accurate"":1,""duration"":671}},{""num"":4,""stage"":1,""cor_position"":41,""answer"":1,""accuracy"":""1.00"",""time"":3500,""select"":{""position"":41,""accurate"":1,""duration"":658}},{""num"":5,""stage"":2,""cor_position"":21,""answer"":1,""accuracy"":""1.00"",""time"":3500,""select"":{""position"":21,""accurate"":1,""duration"":664}},{""num"":6,""stage"":2,""cor_position"":null,""answer"":1,""accuracy"":""1.00"",""time"":3500,""select"":{""position"":null,""accurate"":1,""duration"":664}},{""num"":7,""stage"":2,""cor_position"":22,""answer"":1,""accuracy"":""1.00"",""time"":3500,""select"":{""position"":22,""accurate"":1,""duration"":640}},{""num"":8,""stage"":2,""cor_position"":null,""answer"":1,""accuracy"":""1.00"",""time"":3500,""select"":{""position"":null,""accurate"":1,""duration"":640}}]}",2021-03-24 19:08:40,Android,,BAH,90101,20210324
812058,99771,22464,1255106,23330892,2226361503022810132,0,"{""type"":""brainScience"",""data"":[{""select"":[{""release"":4,""accurate"":1,""out"":2,""pnum"":1,""duration"":3124},{""release"":0,""accurate"":1,""out"":0,""pnum"":2,""duration"":940},{""release"":1,""accurate"":1,""out"":1,""pnum"":3,""duration"":2060},{""release"":3,""accurate"":1,""out"":1,""pnum"":4,""duration"":5326}],""num"":1,""period"":4,""accuracy"":1,""time"":17141},{""select"":[{""release"":1,""accurate"":1,""out"":0,""pnum"":1,""duration"":550},{""release"":0,""accurate"":1,""out"":0,""pnum"":2,""duration"":599},{""release"":1,""accurate"":1,""out"":1,""pnum"":3,""duration"":1723},{""release"":1,""accurate"":1,""out"":1,""pnum"":4,""duration"":1878},{""release"":0,""accurate"":1,""out"":0,""pnum"":5,""duration"":741},{""release"":0,""accurate"":1,""out"":0,""pnum"":6,""duration"":635}],""num"":2,""period"":6,""accuracy"":1,""time"":10066}]}",2021-03-06 19:31:30,iOS,iPad,"iPad7,5",81708,20210306
812034,90716360,15316,1656379,50786569,921661425259384966,0,"{""type"":""brainScience"",""data"":[]}",2021-02-25 19:30:05,Android,,MRX-AL09,81703,20210225
910246,125567,43944,2075650,49475852,677761623886724040,0,"{""type"":""brainScience"",""data"":[{""select"":[{""accurate"":1,""duration"":43682}],""top_click"":0,""answer"":0,""time"":48016,""times"":2,""buttom_click"":4,""accuracy"":""0.00"",""num"":1},{""select"":[{""accurate"":0,""duration"":11538},{""accurate"":1,""duration"":22322}],""top_click"":0,""answer"":0,""time"":26695,""times"":2,""buttom_click"":2,""accuracy"":""0.00"",""num"":2},{""select"":[{""accurate"":1,""duration"":15833}],""top_click"":0,""answer"":1,""time"":0,""times"":1,""buttom_click"":1,""accuracy"":0,""num"":3}]}",2021-03-20 19:16:59,iOS,iPhone,"iPhone12,1",90012,20210320
816124,100895,34447,1255489,56408802,2219561079561139982,1,"{""type"":""brainScience"",""data"":[]}",2021-01-19 20:20:21,iOS,iPhone,"iPhone10,3",81506,20210119
812008,99769,15316,1255021,22060365,2131161156953540842,0,"{""type"":""brainScience"",""data"":[{""num"":1,""select"":[{""accurate"":1,""duration"":1533}],""answer"":1,""accuracy"":""1.00"",""time"":1533},{""num"":2,""select"":[{""accurate"":1,""duration"":2484}],""answer"":1,""accuracy"":""1.00"",""time"":2484},{""num"":3,""select"":[{""accurate"":1,""duration"":2924}],""answer"":1,""accuracy"":""1.00"",""time"":2924}]}",2021-01-25 18:13:07,Android,,SCM-W09,81603,20210125
816074,100893,43944,2086644,64304248,3215160803083800644,1,"{""type"":""brainScience"",""data"":[{""num"":1,""stage"":1,""position"":0,""type"":1,""duration"":1174,""isempty"":0,""answer"":1,""accuracy"":""1.00"",""time"":1174},{""num"":2,""stage"":1,""position"":2,""type"":1,""duration"":1085,""isempty"":0,""answer"":1,""accuracy"":""1.00"",""time"":1085},{""num"":3,""stage"":1,""position"":3,""type"":1,""duration"":1027,""isempty"":0,""answer"":1,""accuracy"":""1.00"",""time"":1027},{""num"":4,""stage"":1,""position"":1,""type"":0,""duration"":0,""isempty"":0,""answer"":1,""accuracy"":""1.00"",""time"":0},{""num"":5,""stage"":1,""position"":3,""type"":1,""duration"":1067,""isempty"":0,""answer"":1,""accuracy"":""1.00"",""time"":1067},{""num"":6,""stage"":1,""position"":2,""type"":1,""duration"":0,""isempty"":1,""answer"":0,""accuracy"":""1.00"",""time"":0},{""num"":6,""stage"":1,""position"":1,""type"":1,""duration"":1766,""isempty"":0,""answer"":1,""accuracy"":""1.00"",""time"":1766},{""num"":7,""stage"":1,""position"":0,""type"":0,""duration"":0,""isempty"":0,""answer"":1,""accuracy"":""1.00"",""time"":0},{""num"":8,""stage"":1,""position"":2,""type"":0,""duration"":0,""isempty"":0,""answer"":1,""accuracy"":""1.00"",""time"":0},{""num"":9,""stage"":1,""position"":1,""type"":1,""duration"":1288,""isempty"":0,""answer"":1,""accuracy"":""1.00"",""time"":1288},{""num"":10,""stage"":2,""position"":2,""type"":0,""duration"":0,""isempty"":0,""answer"":1,""accuracy"":""1.00"",""time"":0},{""num"":11,""stage"":2,""position"":1,""type"":0,""duration"":0,""isempty"":1,""answer"":1,""accuracy"":""1.00"",""time"":0},{""num"":11,""stage"":2,""position"":0,""type"":1,""duration"":1091,""isempty"":0,""answer"":1,""accuracy"":""1.00"",""time"":1091}]}",2021-01-29 16:45:27,Android,,AGS2-AL00,81603,20210129
